"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",17.8875000904718,3.15448673153556,177,17,11.6622555327908,24.1127446481527
"B","1","blue",7.30174403730998,5.16221110527822,177,14,-2.88565864454881,17.4891467191688
"A","2","blue",3.29144143506247,4.49688008736029,177,20,-5.58295895804246,12.1658418281674
"B","2","blue",8.74180524669828,4.20651195206359,177,13,0.440433941307983,17.0431765520886
"A","1","green",8.44781816558434,4.81273311513633,177,17,-1.0499046598304,17.9455409909991
"B","1","green",8.34235355560471,3.94556904519203,177,14,0.555941908984912,16.1287652022245
"A","2","green",7.12835553553078,4.00840236827627,177,20,-0.782054985029671,15.0387660560912
"B","2","green",6.36595288831769,5.36979177641762,177,13,-4.23110136391283,16.9630071405482
"A","1","yellow",13.6424776931301,4.16696539821413,177,17,5.41914981923223,21.865805567028
"B","1","yellow",15.3573426577247,4.01660507351506,177,14,7.43074444943825,23.2839408660112
"A","2","yellow",3.35525583259108,4.24615127497811,177,20,-5.02434198007118,11.7348536452533
"B","2","yellow",6.48855329531643,4.59151744389446,177,13,-2.57260987058064,15.5497164612135
