"day","Group","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"1","A","blue",15.0900322729451,2.34188721982096,177,17,10.468418073669,19.7116464722213
"2","A","blue",4.51275076503636,3.19462814849522,177,20,-1.7917111610258,10.8172126910985
"1","B","blue",8.63984476929053,3.99613987414961,177,14,0.753633756073837,16.5260557825072
"2","B","blue",9.18361446333404,3.40253426926498,177,13,2.46885870598336,15.8983702206847
"1","A","green",9.74994196976113,3.53320710110203,177,17,2.77730897136896,16.7225749681533
"2","A","green",6.25249899155645,2.82055139012282,177,20,0.686261538253154,11.8187364448597
"1","B","green",8.60738930280295,2.94729844285258,177,14,2.79102196550933,14.4237566400966
"2","B","green",2.3357687403241,3.93153504110725,177,13,-5.42294739986738,10.0944848805156
"1","A","yellow",11.962156455745,2.54992093661371,177,17,6.92999661988989,16.9943162916001
"2","A","yellow",4.81989217556556,2.32040315606981,177,20,0.240675856618616,9.3991084945125
"1","B","yellow",11.1501722781125,3.57850545968875,177,14,4.08814490774704,18.212199648478
"2","B","yellow",5.10917369294551,4.26314977018958,177,13,-3.30396992250807,13.5223173083991
