"Group","day","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"A","1","blue",13936.7310506541,659.812179964032,177,17,12634.6199524048,15238.8421489035
"B","1","blue",14233.2812124384,744.99438277109,177,14,12763.0666826119,15703.4957422649
"A","2","blue",11513.5222812967,583.596118721271,177,20,10361.8203179841,12665.2242446094
"B","2","blue",13764.9762919226,793.845859410059,177,13,12198.3554637144,15331.5971201308
"A","1","green",13316.9416445113,633.386995642481,177,17,12066.9795165648,14566.9037724578
"B","1","green",14219.6259252018,808.875002627724,177,14,12623.3457260769,15815.9061243267
"A","2","green",12273.3893576896,628.520675360264,177,20,11033.0307045493,13513.7480108299
"B","2","green",13445.6141372606,770.133343983023,177,13,11925.7889433898,14965.4393311314
"A","1","yellow",14150.4450464315,777.895842560165,177,17,12615.3008938413,15685.5891990217
"B","1","yellow",14900.4337624197,898.428441091881,177,14,13127.4236852302,16673.4438396091
"A","2","yellow",12313.4736278864,613.825732317589,177,20,11102.1148159207,13524.8324398522
"B","2","yellow",13819.3600146413,923.724875684587,177,13,11996.4285064302,15642.2915228524
