"SeqKind","Group","day","emmean","SE","df","n","lower.CL","upper.CL"
"blue","A","1",8437.7382063915,523.099685359887,177,17,7405.42336516658,9470.05304761642
"green","A","1",8045.21883099089,538.342273764177,177,17,6982.8233939086,9107.61426807319
"yellow","A","1",8693.53429707669,580.48442304124,177,17,7547.97313201293,9839.09546214044
"blue","B","1",8471.47562817826,560.734079482691,177,14,7364.89092084407,9578.06033551245
"green","B","1",8454.93033318972,588.928642207893,177,14,7292.70486299969,9617.15580337974
"yellow","B","1",9049.41090916292,637.081609529788,177,14,7792.15761883339,10306.6641994924
"blue","A","2",6615.2479548768,495.074314889695,177,20,5638.23998283362,7592.25592691999
"green","A","2",7105.39422226205,509.715706419441,177,20,6099.49209066314,8111.29635386097
"yellow","A","2",7361.03080197309,536.219017905037,177,20,6302.82551945684,8419.23608448934
"blue","B","2",8017.89366873689,648.428421212168,177,13,6738.24793117764,9297.53940629614
"green","B","2",7587.39484436803,564.714105158398,177,13,6472.95572670159,8701.83396203447
"yellow","B","2",8185.73920642267,756.016590186384,177,13,6693.77282199496,9677.70559085038
