"day","Group","SeqKind","emmean","SE","df","n","lower.CL","upper.CL"
"1","A","blue",6646.00155705067,478.832948820944,178,17,5701.08176703994,7590.9213470614
"2","A","blue",6028.60780731009,449.883290635017,178,20,5140.81671949349,6916.39889512669
"1","B","blue",7506.76066985006,740.309199145266,178,14,6045.84864463991,8967.67269506021
"2","B","blue",6826.74228299094,673.723087193611,178,13,5497.23001854895,8156.25454743292
"1","A","green",6856.09287294692,433.02655030072,178,17,6001.56655434925,7710.61919154459
"2","A","green",6321.28096717198,437.84427029293,178,20,5457.24745201531,7185.31448232865
"1","B","green",7488.51366530441,698.370127033051,178,14,6110.36340348397,8866.66392712485
"2","B","green",7195.97234728796,802.834783120749,178,13,5611.67352961523,8780.27116496068
"1","A","yellow",7314.85191699521,559.917968841422,178,17,6209.92049812848,8419.78333586195
"2","A","yellow",6808.98297678073,430.17259490719,178,20,5960.08859921342,7657.87735434803
"1","B","yellow",7759.41113998961,704.371728008295,178,14,6369.41743350394,9149.40484647529
"2","B","yellow",7511.51197516353,666.424612864786,178,13,6196.40238047761,8826.62156984944
